"tax_id","vers","ocp","tcp.hk","tcp.hhk","tcp.rr","tcp.hrr","tcp.other","tcp.chemotaxis","ecf","other","majormodes_total","chemotaxis.mcp","chemotaxis.chew","chemotaxis.chea","chemotaxis.cher","chemotaxis.cheb","chemotaxis.checx","chemotaxis.chev","chemotaxis.ched","chemotaxis.chez","chemotaxis.other","chemotaxis_total","genome_size","species_tax_id","species","genus","family","order","class","phylum","superkingdom"
137733,"GCF_900111135.1",91,17,NA,21,NA,NA,NA,1,9,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2135967,137733,"Granulicatella balaenopterae","Granulicatella","Carnobacteriaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria"
290052,"GCF_001461035.1",210,35,2,40,NA,1,NA,12,19,344,14,2,1,1,1,4,1,1,NA,NA,25,3660245,290052,"Acetivibrio ethanolgignens","Acetivibrio","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria"
435,"GCF_002005445.1",120,14,4,21,2,1,NA,8,9,189,4,1,1,1,2,NA,NA,1,NA,NA,10,3725037,435,"Acetobacter aceti","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
438,"GCF_001183745.1",78,8,2,11,2,NA,NA,3,5,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2806148,438,"Acetobacter pasteurianus","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
431306,"GCF_001499675.1",100,8,1,13,2,NA,NA,4,9,148,6,1,1,1,1,NA,NA,1,NA,NA,11,2843936,431306,"Acetobacter ghanensis","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
436,"GCF_001645805.1",126,11,1,14,2,NA,NA,2,10,170,1,2,NA,NA,1,NA,NA,NA,NA,NA,4,3343435,436,"Komagataeibacter hansenii","Komagataeibacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
442,"GCF_001008185.1",150,15,1,19,2,NA,NA,5,6,204,2,1,1,1,1,NA,NA,NA,NA,NA,6,3399823,442,"Gluconobacter oxydans","Gluconobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
446692,"GCF_001499615.1",160,11,2,15,2,NA,NA,8,6,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3969909,446692,"Acetobacter senegalensis","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria"
52689,"GCF_001263355.1",268,41,1,38,NA,2,NA,4,27,423,23,3,2,5,3,4,NA,2,NA,NA,42,4135635,52689,"Acetobacterium bakii","Acetobacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria"
52694,"GCF_001766835.1",279,28,6,36,NA,1,NA,6,14,426,32,6,4,5,2,4,NA,2,NA,1,56,3895828,52694,"Acetobacterium wieringae","Acetobacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria"
